# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
  7700  0.010000  0.010000  0.000000  0.010000  0.010000  0.000000  0.310000  0.000000  0.000000  0.000000  0.000000  0.300000  0.000000  0.000000  0.000000  
  7800  0.010000  0.010000  0.010000  0.000000  0.010000  0.000000  0.300000  0.000000  0.000000  0.010000  0.000000  0.300000  0.000000  0.000000  0.010000  
  7900  0.000000  0.010000  0.000000  0.010000  0.010000  0.010000  0.310000  0.000000  0.000000  0.000000  0.000000  0.300000  0.000000  0.000000  0.000000  
  8000  0.000000  0.010000  0.010000  0.000000  0.000000  0.000000  0.310000  0.010000  0.000000  0.000000  0.000000  0.310000  0.000000  0.000000  0.000000  
  8100  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.320000  0.000000  0.000000  0.000000  0.000000  0.310000  0.000000  0.000000  0.000000  
  8200  0.020000  0.010000  0.010000  0.010000  0.020000  0.000000  0.330000  0.000000  0.000000  0.000000  0.000000  0.310000  0.000000  0.000000  0.000000  
  8300  0.000000  0.010000  0.010000  0.010000  0.010000  0.000000  0.320000  0.000000  0.000000  0.000000  0.000000  0.320000  0.000000  0.000000  0.000000  
  8400  0.000000  0.010000  0.010000  0.020000  0.010000  0.000000  0.330000  0.000000  0.000000  0.000000  0.000000  0.320000  0.000000  0.000000  0.000000  
  8500  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  0.330000  0.000000  0.000000  0.000000  0.000000  0.320000  0.000000  0.000000  0.000000  
  8600  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.350000  0.000000  0.000000  0.000000  0.000000  0.330000  0.010000  0.000000  0.000000  
  8700  0.010000  0.010000  0.000000  0.010000  0.010000  0.000000  0.340000  0.000000  0.000000  0.000000  0.000000  0.330000  0.000000  0.000000  0.000000  
